run_id,architecture,variant,source_variant,seed,best_epoch,epochs_completed,best_validation_INT8_macro_f1,test_fingerprint_macro_f1,test_fingerprint_accuracy,test_raw_weighted_macro_f1,test_gafgyt_fnr,test_mirai_fnr,float_parameter_count,float_linear_macs_per_sample,float_state_bytes,INT8_state_bytes,INT8_to_float_state_size_ratio,training_elapsed_seconds,test_evaluation_count,fragility_gate_triggered,source_checkpoint_path,source_checkpoint_sha256,output_directory,QAT_checkpoint_sha256,INT8_checkpoint_sha256,metrics_sha256,run_manifest_sha256,run_status
compact_dnn__qat__seed_42,compact_dnn,QAT,B0,42,2,5,0.9979381941570725,0.9980755236956025,0.9988084863742482,0.9966441087640473,0.004590822454040522,0.0008740476945467979,25283,25056,104397,38293,0.3668017280190044,40.368749400018714,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_42\best_checkpoint.pt,bfaa7bf463eb749ac96c61b2c1053ab23e9e96b7f6fbf23b35e18041a1a583f4,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\qat\seed_42,963807cd62bf8539f3cfc11bd0bafdd9015d42a7075b94e6eeac4df4c1df97c1,a938ae62bf4991a8893eecd5a40ecd43b9935ecce2bdf14ac4624534777a5a3d,2a2beb659e6f8b70b6bb803d691d95777af2d1aa830523f58f15c7e34cdb2c9a,2f4ecf2001d26c35deb752ae547108f9e04f995b3569f328a5b1a019489e93a0,completed_new
compact_dnn__qat__seed_123,compact_dnn,QAT,B0,123,7,8,0.9980050953873674,0.9980783159301746,0.9988165553152805,0.9971791879944404,0.0031356956940544745,0.00113829467196791,25283,25056,104397,38293,0.3668017280190044,64.7185970999999,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_123\best_checkpoint.pt,846daa7d293dc3485b0343cd0f3b2f78b5e80872923162019cd3b68e21ace6de,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\qat\seed_123,97e616befaada159a063d50e9a158dc321ab32f2ed1892a47dd3c9938024b005,c8d674c5bfa39b7709cf582f4396ca7708375dbed416b267eead750d9f75cfd5,01b639564dbf00def2f2726aee06a0c953b63bc271311b6b039212434e18cf3f,06f1276fe8ee11fe583b3af5a48ec0c170a936bbdb3ca259558955d79873921f,completed_new
compact_dnn__qat__seed_2026,compact_dnn,QAT,B0,2026,7,8,0.9985392994221334,0.9985024532289648,0.9990693821342886,0.9977587773999574,0.002295411227020261,0.0009309624281451656,25283,25056,104397,38293,0.3668017280190044,65.02770560001954,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_2026\best_checkpoint.pt,7404110900abe7bf20e384481f693da8abde7fb316436556b680f7786080da9a,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\qat\seed_2026,977cc0c70b7b876d20cb487395145f52720d76d7ce2f39a5e9f253c9f1edbbc6,1c87e221cdbbc93986d7685c455ae6c2f580a2f0bbc402a9581aa26d85f9e8bb,5c12475a228b811f29976c0a660523b58f13af1d9750fe6f50fe945c83d2004c,5020df9b06717ba2777a0f9064a162e1671a7fb34af70349ba7ee552363a5708,completed_new
compact_dnn__qat__seed_3407,compact_dnn,QAT,B0,3407,2,5,0.9970365670263875,0.9971715239986688,0.9982086950908563,0.9965518746156571,0.004016969647285484,0.001894447561203716,25283,25056,104397,38293,0.3668017280190044,40.70667059998959,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_3407\best_checkpoint.pt,79ac775ce6b798be6e1ecec074d116a2c3701fb8535ec48f03eac295a9445ea7,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\qat\seed_3407,3ee72c804269120cc9371c8f83f8c1c1a54f003700d7141e9f9f8f8fa4c41474,d811fc56ba1f3083b9c1d8669fcb83194955314bbe1ddf71b77038e4a1f7a35f,14db470d894914ac795ba1fe6688fbe8a62cc657f1d667614a71af8bd4d022c7,acf56773fd3202d28746669c742b45124726f1c1baa8c28141145030b0ff6b1f,completed_new
compact_dnn__qat__seed_8192,compact_dnn,QAT,B0,8192,7,8,0.9986468413003428,0.9986237817541056,0.9991527611916212,0.9976015738937941,0.002807779804480104,0.0007114341699798743,25283,25056,104397,38293,0.3668017280190044,65.63522479997482,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_8192\best_checkpoint.pt,822635e009b505e48e0e03fc4944bcf087624692af90451888302a9528024fa8,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\qat\seed_8192,1286ff5544199fb2a04bfabbd66d3a6ed12dd224857f9909eec163c2835273eb,b9c278d7d1a988d6122c78010af0f534db1cd1eba3bbf667a8bbea380696768e,5a2536616ef550903ff73a35510e28a71e174fe1c771b9bc11d34db91f0ee119,6b6318aa28745a61415b3767641e0a9f06208b67ece5c0c0d4b87fd091a57ba7,completed_new
tinyml_mlp__p25_qat__seed_42,tinyml_mlp,P25-QAT,P25-noFT,42,3,6,0.9977568809233172,0.9976165757765143,0.9985314527321434,0.9962607005513219,0.006496833562191329,0.0008699823564325415,6819,6744,30101,15207,0.505199162818511,24.109660599962808,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p25_noft\seed_42\source_checkpoint.pt,cafb49c20b2ab0cd904aaab3f460f9a50b55dffd71c906fda33f4f2a77c06a70,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25_qat\seed_42,adab36c2031c14c7213f9f3a0d7d69ac227b9aeb1a2925b177077b2b4ab4515f,6656c4e58943f868bc3041a1f32ef53a886c69ec1bb02d2292fb5abbe97b9d5e,0d5b5846ab2a44961c6d667cd134bfa83a7fd832ad8e1b651bfb756e803655b1,af65187233ab296f72e69e98898c3caefc3f170d929e443f599ddfcb27975574,completed_new
tinyml_mlp__p25_qat__seed_123,tinyml_mlp,P25-QAT,P25-noFT,123,4,7,0.9981218146702652,0.9980119773272667,0.9987735209631088,0.9966924449771084,0.006107433443321764,0.0005732126740981558,6819,6744,30101,15207,0.505199162818511,27.631727600004524,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p25_noft\seed_123\source_checkpoint.pt,3b927a24613c5aaae06a74bfbf8b3916b9837b1dc480d4bc611539b55482e567,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25_qat\seed_123,b663b60327a2301423e311d0855ef433d565d98fb6367a46117413f10334fe13,62f0d4a5c7f0be4436aaa8c1a601864a0a1773c3af1aca369da741cd7bf82b00,81b4f5f8154ba053f233da58d1db6b745c2fde5e3bd7a51295e1bb5759d6ae38,9566401bfdf52a1b71ec5b3aa48d77c1e23d3c8ae9536d0d412e3ab7e92539a4,completed_new
tinyml_mlp__p25_qat__seed_2026,tinyml_mlp,P25-QAT,P25-noFT,2026,4,7,0.9983428170955181,0.9981434899604608,0.9988703482554949,0.996698592439572,0.005000717316008485,0.0006707807888381989,6819,6744,30101,15207,0.505199162818511,27.470067500020377,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p25_noft\seed_2026\source_checkpoint.pt,5edae6d61c5daba921660e8ab4b03e8bf99d6fb8c87a9088e50b272ac77b270a,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25_qat\seed_2026,610ad8136064b2b955cf6ced16972e8b358ae85cc3daf320b4d4c764ac511798,ff0317c449bcf4266440279e52b2db4b44c163dc59488f2b6c41d79a8c03c97e,bf4a246933675c0e3fc610755eb90e39bb382ab8a4bde1778927a6566cc2a92a,5d15b2196e20ebee80a296253db52caeb08da6339b7d9cff268456e6c5359384,completed_new
tinyml_mlp__p25_qat__seed_3407,tinyml_mlp,P25-QAT,P25-noFT,3407,4,7,0.9982993677240323,0.9982040767818816,0.9989106929606558,0.9967848921737357,0.004918738343614892,0.0006260620695823782,6819,6744,30101,15207,0.505199162818511,27.408907400094904,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p25_noft\seed_3407\source_checkpoint.pt,e0f5c4a9d589951759e1daab4d97d55fc72e0c6e8aa574b73a1b988b4c68f8e9,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25_qat\seed_3407,ee9634c033fb3538225dde421e6fe7b47a81b776765b23d6c0e5f78388c0205f,49f8ab26b923af51a706b79da38b4a8e74e31cd835e7f1e8fbb3b5cb84c80c0d,c92677af1f6bcf6a9635b0a44406317dc2a0b5a668c1dd42e8dd61c83fe05bde,f89fb4cb4cca1774fe12c3be908e8f134f469738cc271e6a9360fd93098cb7f7,completed_new
tinyml_mlp__p25_qat__seed_8192,tinyml_mlp,P25-QAT,P25-noFT,8192,3,6,0.9983757869780856,0.998335351575974,0.998988692723967,0.9970376729707991,0.003996474904187086,0.0006992381556374383,6819,6744,30101,15207,0.505199162818511,23.79209170001559,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p25_noft\seed_8192\source_checkpoint.pt,d0506816d759ba94935bd62321f2b2f4f2b471151907155dab4c86ffec2cfcc6,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25_qat\seed_8192,d82869e611b451fe5ec37b261177d17feedd10401eb1e9683d7c9ab0a1b0810f,86288027a45f875c59dfca11b5eb8b612f9d1019017a3b1d205df341431e2cba,f7f9b9321f7b5c3e8878a5ded65427feab384826bcfba4b913d9b81754e06692,b7fd805ccae18f154c86940429587a997f8adeaf954014efb428e49c0169f7fa,completed_new
tinyml_mlp__p50_qat__seed_42,tinyml_mlp,P50-QAT,P50-noFT,42,5,8,0.9981754683375357,0.9981008378540057,0.9988515207264199,0.9967603608110841,0.00461131719713892,0.0007602182273499514,4291,4240,19925,12199,0.612245922208281,29.951425699982792,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p50_noft\seed_42\source_checkpoint.pt,7ffd983fec8d9bdaa43d46bb030771c4ba1b50ad50bab6193848c0e98d638e4f,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50_qat\seed_42,90eec9989f14fad7561f97c73b9fd4ecd239a0ab5ab9aef266ad32a7b2a99515,bf77b87ecb4b69abf899d4aa78741835b1034a26461a018e920a751c8ca451cd,f317b5ca142219f7e9ba13f19130873515d8252b80f7b5086927d262f652f10d,273ca5f5a2a5ce711f1b8677964e383595a7b7eeba3a2ba16232b5266a1717e3,completed_new
tinyml_mlp__p50_qat__seed_123,tinyml_mlp,P50-QAT,P50-noFT,123,6,8,0.9976164693682975,0.9975893105831185,0.9985180044970898,0.9960966370455152,0.006619802020781718,0.0008130676228341738,4291,4240,19925,12199,0.612245922208281,30.081901800003834,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p50_noft\seed_123\source_checkpoint.pt,12bf406592c783b74d8a066ce1ec8676aacdd3a36f76b5044341b550a9de455d,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50_qat\seed_123,bd66ffe712a3ca50e87019e2bd9ce1639a357832f3d9dbb8020959969f30d9e9,f9fba7353d6f5c76b6a114483eb847560a8c5eb529ad9ffdb4e8c6da8d5e8130,004ba5967b11549e0227569710b630d58d9967a0d314cd24a732bbcb2e48de3a,41b2aff4dffd286967049ce7846ffae63c3177515f39727bd55e288c7c116a21,completed_new
tinyml_mlp__p50_qat__seed_2026,tinyml_mlp,P50-QAT,P50-noFT,2026,4,7,0.996966181737415,0.9970080708948338,0.9981091781514594,0.9959473619503365,0.0065993072776833195,0.001475717735444082,4291,4240,19925,12199,0.612245922208281,26.300106500042602,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p50_noft\seed_2026\source_checkpoint.pt,fa5f955c224305819349730df21763cbf67d68b8ec8b2e8fde1c172fb593a7ee,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50_qat\seed_2026,9f50be3f629e2fe749a8d9fc395557d85c81dd8f0ff39c17233ea0090b23e09a,9a2d2c0dc469777e82a2daba5bd1bbad1dc5bd77fa46e0304f94752eefbfef8a,cfa1b73e475fe1e18d25ece9f1c1a898bde2e7eb88d8da0b4baf2004c56dc311,1816c1b38c87d9ff79377e7413ac1234f1b36cc21c976c3bb78c25258602151e,completed_new
tinyml_mlp__p50_qat__seed_3407,tinyml_mlp,P50-QAT,P50-noFT,3407,7,8,0.9982889008156355,0.998321844873542,0.9989913823709776,0.9969556318431323,0.0037710327301047064,0.000731760860550823,4291,4240,19925,12199,0.612245922208281,30.150405700085685,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p50_noft\seed_3407\source_checkpoint.pt,f67ba7aefa07631971c2dd05f91d10bdca646237f43f79f362c35a1fbb70dd5c,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50_qat\seed_3407,dcfd42f47325c4960b5d25ac7514088661d2936376a71e47b0ba63b4b77e33a6,7ff531f495c351170b5391f9d44043e58ff035381cf44d0a412faed9e537c41e,308f977864ef03f1d4100ad2db00ad1bf289aa2779a28306f06f790dcb7b4a9a,8044eb5736e1767ce016a784542d19a4407e70d8eb1adc4891cae7c7145a113c,completed_new
tinyml_mlp__p50_qat__seed_8192,tinyml_mlp,P50-QAT,P50-noFT,8192,4,7,0.9983159583785666,0.9982576626435993,0.998918761901688,0.997123473761949,0.0036480642715143174,0.0008781130326609432,4291,4240,19925,12199,0.612245922208281,26.360906600020826,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p50_noft\seed_8192\source_checkpoint.pt,d93a1e63059780042c6784294693c0e7a1657952b435fd4d2d78b7bf88f10def,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50_qat\seed_8192,0ff07b989caf7da9271473a82ee554e85cb82bf46bf1e048aa4f1458e319882c,3d1c0c08340eb403e0725429d670897e8d586c996b9c3ca13618f9b124c5f08e,3e4c2a390eb93e5f468aa5b2c7e7a653d85307e70456b592d629189b957fa4b5,de2895c0046e5ec763b7e89c2fae0060917661f0e99a3d6c63814e418e2d9cb6,completed_new
tinyml_mlp__qat__seed_42,tinyml_mlp,QAT,B0,42,5,8,0.9985089306282027,0.9983990138047961,0.99903710637016,0.9973516496072591,0.004201422335171068,0.0005366246310705147,9603,9504,41173,18407,0.4470648240351687,40.152693600044586,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_42\best_checkpoint.pt,5abfac0829d550c2e2f452f992e5cc4b53b79412f506e8ef38d2335285aefa1f,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\qat\seed_42,d241e0a957bb3fe916b8a5799b3a134d9feb7fca110f6603e88fae8281ba51f8,db441879e4296a001741c4c17817414c40735f2621b86981698a34f8e78ab3fa,d7e1dbae60c5650e75f2e0ad907009f8eb9612d3a4953a1c5255aae1fd4c308d,c8e4fbe4ecf6396bcfab5dee066925e63f1b07cfd562cfc6e88feec9f0b0335e,completed_new
tinyml_mlp__qat__seed_123,tinyml_mlp,QAT,B0,123,4,7,0.9983347037253405,0.9981036024972098,0.998830003550334,0.9969018060147322,0.005308138462484346,0.0006585847744956519,9603,9504,41173,18407,0.4470648240351687,31.968779199989513,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_123\best_checkpoint.pt,eab045d2e16f00c850e93b72979e5e1e299c4e792944403cddd60df7c7fd371a,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\qat\seed_123,27a1e8ca4b790ef95d0012ae98678bb0afa922eddb50b31c36b8054d9a9dbc3f,08c4cb7288103e8a842f8afb0067296967a68490ab67b69ddca660ab549bf01f,c86db3c28a0e0ab410e499eaa876f1f6502a627cc8f6886c15a36ed5545684f7,2a071cf0c1526bc4e2a5761502c17268a9298d1ebba419e92fb736dcd5c4834a,completed_new
